name,file,component,dtype,shape,bytes,data_start,data_end,file_data_start,file_data_end,layer,expert,matrix,kind
layers.13.ffn.experts.215.w2.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,4096x1024,4194304,1987343704,1991538008,1987517936,1991712240,13,215,w2,weight
layers.13.ffn.experts.215.w3.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,2048x2048,4194304,1991538008,1995732312,1991712240,1995906544,13,215,w3,weight
layers.13.ffn.experts.216.w1.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,2048x2048,4194304,1995732312,1999926616,1995906544,2000100848,13,216,w1,weight
layers.13.ffn.experts.216.w2.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,4096x1024,4194304,1999926616,2004120920,2000100848,2004295152,13,216,w2,weight
layers.13.ffn.experts.216.w3.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,2048x2048,4194304,2004120920,2008315224,2004295152,2008489456,13,216,w3,weight
layers.13.ffn.experts.217.w1.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,2048x2048,4194304,2008315224,2012509528,2008489456,2012683760,13,217,w1,weight
layers.13.ffn.experts.217.w2.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,4096x1024,4194304,2012509528,2016703832,2012683760,2016878064,13,217,w2,weight
layers.13.ffn.experts.217.w3.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,2048x2048,4194304,2016703832,2020898136,2016878064,2021072368,13,217,w3,weight
layers.13.ffn.experts.218.w1.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,2048x2048,4194304,2020898136,2025092440,2021072368,2025266672,13,218,w1,weight
layers.13.ffn.experts.218.w2.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,4096x1024,4194304,2025092440,2029286744,2025266672,2029460976,13,218,w2,weight
layers.13.ffn.experts.218.w3.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,2048x2048,4194304,2029286744,2033481048,2029460976,2033655280,13,218,w3,weight
layers.13.ffn.experts.219.w1.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,2048x2048,4194304,2033481048,2037675352,2033655280,2037849584,13,219,w1,weight
layers.13.ffn.experts.219.w2.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,4096x1024,4194304,2037675352,2041869656,2037849584,2042043888,13,219,w2,weight
layers.13.ffn.experts.219.w3.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,2048x2048,4194304,2041869656,2046063960,2042043888,2046238192,13,219,w3,weight
layers.13.ffn.experts.22.w1.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,2048x2048,4194304,2046063960,2050258264,2046238192,2050432496,13,22,w1,weight
layers.13.ffn.experts.22.w2.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,4096x1024,4194304,2050258264,2054452568,2050432496,2054626800,13,22,w2,weight
layers.13.ffn.experts.22.w3.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,2048x2048,4194304,2054452568,2058646872,2054626800,2058821104,13,22,w3,weight
layers.13.ffn.experts.220.w1.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,2048x2048,4194304,2058646872,2062841176,2058821104,2063015408,13,220,w1,weight
layers.13.ffn.experts.220.w2.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,4096x1024,4194304,2062841176,2067035480,2063015408,2067209712,13,220,w2,weight
layers.13.ffn.experts.220.w3.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,2048x2048,4194304,2067035480,2071229784,2067209712,2071404016,13,220,w3,weight
layers.13.ffn.experts.221.w1.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,2048x2048,4194304,2071229784,2075424088,2071404016,2075598320,13,221,w1,weight
layers.13.ffn.experts.221.w2.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,4096x1024,4194304,2075424088,2079618392,2075598320,2079792624,13,221,w2,weight
layers.13.ffn.experts.221.w3.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,2048x2048,4194304,2079618392,2083812696,2079792624,2083986928,13,221,w3,weight
layers.13.ffn.experts.222.w1.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,2048x2048,4194304,2083812696,2088007000,2083986928,2088181232,13,222,w1,weight
layers.13.ffn.experts.222.w2.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,4096x1024,4194304,2088007000,2092201304,2088181232,2092375536,13,222,w2,weight
layers.13.ffn.experts.222.w3.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,2048x2048,4194304,2092201304,2096395608,2092375536,2096569840,13,222,w3,weight
layers.13.ffn.experts.223.w1.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,2048x2048,4194304,2096395608,2100589912,2096569840,2100764144,13,223,w1,weight
layers.13.ffn.experts.223.w2.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,4096x1024,4194304,2100589912,2104784216,2100764144,2104958448,13,223,w2,weight
layers.13.ffn.experts.223.w3.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,2048x2048,4194304,2104784216,2108978520,2104958448,2109152752,13,223,w3,weight
layers.13.ffn.experts.224.w1.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,2048x2048,4194304,2108978520,2113172824,2109152752,2113347056,13,224,w1,weight
layers.13.ffn.experts.224.w2.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,4096x1024,4194304,2113172824,2117367128,2113347056,2117541360,13,224,w2,weight
layers.13.ffn.experts.224.w3.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,2048x2048,4194304,2117367128,2121561432,2117541360,2121735664,13,224,w3,weight
